rank,in_serious_skim_300,in_deep_read_225,in_hostile_prior_100,openalex_id,title,year,authors,venue,url_or_doi,cited_by_count,source_queries,tags,relevance_score,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
1,yes,yes,yes,https://openalex.org/W7161058999,Robot localization and mapping in complex scenarios,2026,Matteo Scucchia,AMS Dottorato Institutional Doctoral Theses Repository (University of Bologna),https://doi.org/10.48676/unibo/amsdottorato/12653,0,lifelong SLAM dynamic environments robot navigation,slam | dynamic | semantic | memory | planning | learning,49.2500,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; learned representation or neural memory module.,change probability is a property of places rather than of unobserved interventions that could have reached them | map memory can be trusted or discounted as a monotone function of elapsed time | map update and route choice can be separated without losing optimality,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Humans possess an exceptional ability to navigate and map their surroundings while continuously adapting to new environments. We effortlessly integrate prior knowledge with new sensory information, refining our spatial understanding over time. One of the long-standing challenges in robotics and Artificial Intelligence (AI) is developing a long-term Simultaneous Localization And Mapping (SLAM) system that can autonomously construct and update maps while adapting to dynamic and previously unseen e"
2,yes,yes,yes,https://openalex.org/W1973080743,Long-term 3D map maintenance in dynamic environments,2014,"François Pomerleau, Philipp Krüsi, Francis Colas, Paul Furgale, Roland Siegwart",https://doi.org/10.1109/icra.2014.6907397,https://doi.org/10.1109/icra.2014.6907397,197,long term autonomy mobile robot navigation changing environments,slam | dynamic | semantic | memory | planning,45.4467,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map.,change probability is a property of places rather than of unobserved interventions that could have reached them | map update and route choice can be separated without losing optimality | map changes are observed at the place where they matter for the plan,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,New applications of mobile robotics in dynamic urban areas require more than the single-session geometric maps that have dominated simultaneous localization and mapping (SLAM) research to date; maps must be updated as the environment changes and include a semantic layer (such as road network information) to aid motion planning in dynamic environments. We present an algorithm for long-term localization and mapping in real time using a three-dimensional (3D) laser scanner. The system infers the st
3,yes,yes,yes,https://openalex.org/W4415785190,"A Comprehensive Survey of Visual SLAM Technology: Methods, Challenges, and Perspectives",2025,"Aidos Ibrayev, Amanzhol Bektemessov",International Journal of Advanced Computer Science and Applications,https://doi.org/10.14569/ijacsa.2025.0161040,3,lifelong SLAM dynamic environments robot navigation,slam | dynamic | semantic | memory | planning | vision | active | learning,45.2521,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; information-gain driven sensing/exploration; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | learned memory modules implicitly discover when to forget spatial facts | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Visual Simultaneous Localization and Mapping (Visual SLAM) has become a cornerstone of autonomous navigation and spatial understanding in robotics, augmented reality, and computer vision. This review presents a comprehensive examination of algorithmic progress in Visual SLAM, focusing on the three principal paradigms: monocular, stereo, and RGB-D SLAM. Monocular SLAM, known for its minimal hardware requirements, has evolved from feature-based methods to deep learning-enhanced systems, addressing"
4,yes,yes,yes,https://openalex.org/W4411747394,Probabilistic Mapping and Navigation: A Survey of Bayesian Meta-Learning for Autonomous Robots,2025,"Sreejib Pal, Soumitra Keshari Nayak",Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-025-02283-8,1,lifelong SLAM dynamic environments robot navigation,dynamic | uncertainty | memory | planning | active | learning,44.9510,"Plan robot motion when the map, state, or traversability model is uncertain.",change handling or dynamic-object filtering; probabilistic belief or risk model; planner or policy over the represented map; information-gain driven sensing/exploration; learned representation or neural memory module.,the cost of being wrong is proportional to local reconstruction error | environment changes are locally independent once the map cell or edge is represented | closed-world maps remain valid outside the robot's recent sensor frustum,route-level cost of stale-map errors | hazard model connecting uncertainty to physical change,unobserved reachable changes invalidate an old shortcut | high entropy in harmless regions distracts from low-entropy dangerous stale edges | planner repeatedly commits to stale bottlenecks,generic dynamic-environment handling | uncertainty-aware navigation baseline | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Abstract Bayesian Meta-Learning’s role in the autonomous navigation of mobile robots remains unexplored; this systematic review highlights the effectiveness of Bayesian Meta-Learning in enhancing probabilistic mapping and navigation in mobile autonomous robots. The paper initially compares Bayesian Meta-Learning with existing techniques that have been the cornerstone of probabilistic mapping and navigation, such as Kalman filters and particle filters. It then meticulously examines the critical m"
5,yes,yes,yes,https://openalex.org/W4298139715,Generalized Simultaneous Localization and Mapping (G-SLAM) as unification framework for natural and artificial intelligences: towards reverse engineering the hippocampal/entorhinal system and principles of high-level cognition,2022,"Adam Safron, Ozan Çatal, Tim Verbelen",Frontiers in Systems Neuroscience,https://doi.org/10.3389/fnsys.2022.787659,24,lifelong SLAM dynamic environments robot navigation | long horizon robot navigation mapping memory,slam | dynamic | semantic | memory | planning | active | learning,44.0979,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; information-gain driven sensing/exploration; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | change probability is a property of places rather than of unobserved interventions that could have reached them,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Simultaneous localization and mapping (SLAM) represents a fundamental problem for autonomous embodied systems, for which the hippocampal/entorhinal system (H/E-S) has been optimized over the course of evolution. We have developed a biologically-inspired SLAM architecture based on latent variable generative modeling within the Free Energy Principle and Active Inference (FEP-AI) framework, which affords flexible navigation and planning in mobile robots. We have primarily focused on attempting to r"
6,yes,yes,yes,https://openalex.org/W4200061962,Generalized Simultaneous Localization and Mapping (G-SLAM) as unification framework for natural and artificial intelligences: towards reverse engineering the hippocampal/entorhinal system and principles of high-level cognition,2021,"Adam Safron, Ozan Çatal, Tim Verbelen",https://doi.org/10.31234/osf.io/tdw82,https://doi.org/10.31234/osf.io/tdw82,19,lifelong SLAM dynamic environments robot navigation | long horizon robot navigation mapping memory,slam | dynamic | semantic | memory | planning | active | learning,44.0010,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; information-gain driven sensing/exploration; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | change probability is a property of places rather than of unobserved interventions that could have reached them,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Simultaneous localization and mapping (SLAM) represents a fundamental problem for autonomous embodied systems, for which the hippocampal/entorhinal system (H/E-S) has been optimized over the course of evolution. We have developed a biologically-inspired SLAM architecture based on latent variable generative modeling within the Free Energy Principle and Active Inference (FEP-AI) framework, which affords flexible navigation and planning in mobile robots. We have primarily focused on attempting to r"
7,yes,yes,yes,https://openalex.org/W7125512333,AI-Driven Visual Navigation for Smart Lab Tour Guide Robot,2025,"Vinod Chandrakant Todkari, Avinash P. Kaldate, Shrikrishna Kolhar, Arvind M. Jagtap, Nilesh P. Sable",Journal Européen des Systèmes Automatisés,https://doi.org/10.18280/jesa.581214,0,lifelong SLAM dynamic environments robot navigation,slam | dynamic | memory | planning | vision | learning,41.4500,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map; visual place-recognition or appearance-invariant localization; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | closed-world maps remain valid outside the robot's recent sensor frustum | the same trust policy is appropriate for exploratory detours and mission-critical route edges,change process behind loop closures/map factors | route-level cost of stale-map errors | physical traversability behind appearance drift,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"A self-contained guidance system is required in robotics and automation laboratories for autonomous navigation purposes.In laboratory conditions where conditions are constantly changing, regular fixed-path solutions will not work.In this paper, a comprehensive framework for a tour guide robot is developed.An AI-driven visual navigation system is used to guide the robot.Simultaneous localization and mapping (SLAM) is implemented instead of the traditional line following approach.Deep learning-bas"
8,yes,yes,yes,https://openalex.org/W4404161621,A Comprehensive Review of Mobile Robot Navigation Using Deep Reinforcement Learning Algorithms in Crowded Environments,2024,"Hoangcong Le, Saeed Saeedvand, Chen‐Chien Hsu",Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-024-02198-w,39,dynamic SLAM mobile robots map change detection,slam | dynamic | memory | planning | learning,41.3521,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map; learned representation or neural memory module.,map update and route choice can be separated without losing optimality | learned memory modules implicitly discover when to forget spatial facts | closed-world maps remain valid outside the robot's recent sensor frustum,change process behind loop closures/map factors | route-level cost of stale-map errors,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | learned memory/world-model framing,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Abstract Navigation is a crucial challenge for mobile robots. Currently, deep reinforcement learning has attracted considerable attention and has witnessed substantial development owing to its robust performance and learning capabilities in real-world scenarios. Scientists leverage the advantages of deep neural networks, such as long short-term memory, recurrent neural networks, and convolutional neural networks, to integrate them into mobile robot navigation based on deep reinforcement learning"
9,yes,yes,yes,https://openalex.org/W4305011782,Multi-Object Navigation with dynamically learned neural implicit representations,2022,"Pierre Marza, Laëtitia Matignon, Olivier Simonin, Christian Wolf",arXiv (Cornell University),https://doi.org/10.48550/arxiv.2210.05129,1,lifelong SLAM dynamic environments robot navigation,slam | dynamic | semantic | memory | planning | occupancy | active | learning,40.7510,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; semantic/object-level map structure; planner or policy over the represented map; information-gain driven sensing/exploration; learned representation or neural memory module; occupancy/traversability grid representation.,map update and route choice can be separated without losing optimality | change probability is a property of places rather than of unobserved interventions that could have reached them | topological connectivity changes are rare compared with metric pose drift,change process behind loop closures/map factors | route-level cost of stale-map errors | object persistence and affordance dynamics,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling | sensing-before-acting baseline,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Understanding and mapping a new environment are core abilities of any autonomously navigating agent. While classical robotics usually estimates maps in a stand-alone manner with SLAM variants, which maintain a topological or metric representation, end-to-end learning of navigation keeps some form of memory in a neural network. Networks are typically imbued with inductive biases, which can range from vectorial representations to birds-eye metric tensors or topological structures. In this work, we"
10,yes,yes,yes,https://openalex.org/W4391444623,SLAM-RAMU: 3D LiDAR-IMU lifelong SLAM with relocalization and autonomous map updating for accurate and reliable navigation,2024,"Bushi Chen, Xunyu Zhong, Han Xie, Pengfei Peng, Huosheng Hu, Xungao Zhong, et al.",Industrial Robot the international journal of robotics research and application,https://doi.org/10.1108/ir-09-2023-0223,7,dynamic SLAM mobile robots map change detection | lifelong SLAM dynamic environments robot navigation,slam | dynamic | memory | planning | occupancy,40.6031,Maintain localization and maps when the robot's environment changes over long deployments.,SLAM/pose-graph or map-estimation machinery; change handling or dynamic-object filtering; planner or policy over the represented map; occupancy/traversability grid representation.,map update and route choice can be separated without losing optimality | map changes are observed at the place where they matter for the plan | environment changes are locally independent once the map cell or edge is represented,change process behind loop closures/map factors | route-level cost of stale-map errors,unobserved reachable changes invalidate an old shortcut | locally consistent maps hide task-critical topology changes | planner repeatedly commits to stale bottlenecks,map estimation and localization novelty | generic dynamic-environment handling,Tie memory distrust to unobserved physical opportunities for change and downstream route consequence.,"Purpose Autonomous mobile robots (AMRs) play a crucial role in industrial and service fields. The paper aims to build a LiDAR-based simultaneous localization and mapping (SLAM) system used by AMRs to overcome challenges in dynamic and changing environments. Design/methodology/approach This research introduces SLAM-RAMU, a lifelong SLAM system that addresses these challenges by providing precise and consistent relocalization and autonomous map updating (RAMU). During the mapping process, local od"
